region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
Almería,12:00del13/04/2019,ELBOTICARIO,51,109ug/m3,11ug/m3,,,,
Almería,12:00del13/04/2019,MEDITERRÁNEO,40,86ug/m3,28ug/m3,7ug/m3,,,210ug/m3
Almería,12:00del13/04/2019,BÉDAR,74,124ug/m3,2ug/m3,3ug/m3,,,
Almería,12:00del13/04/2019,BENAHADUX,80,127ug/m3,6ug/m3,6ug/m3,,,
Almería,13:00del13/04/2019,LLANODEDONANTONIO,6,,12ug/m3,4ug/m3,,,579ug/m3
Almería,12:00del13/04/2019,PZA.DELCASTILLO,4,,7ug/m3,6ug/m3,,,
Almería,00:00del12/01/2019,PALOMARES,--,,,,,,
Almería,00:00del12/01/2019,VILLARICOS,--,,,,,,
Almería,12:00del13/04/2019,ELEJIDO,58,114ug/m3,5ug/m3,5ug/m3,,27.43ug/m3,349ug/m3
Almería,13:00del13/04/2019,FERNÁNPÉREZ,50,108ug/m3,4ug/m3,6ug/m3,,,
Almería,12:00del13/04/2019,MOJÁCAR,45,98ug/m3,6ug/m3,4ug/m3,,,
Almería,11:00del13/04/2019,LAGRANATILLA,58,113ug/m3,8ug/m3,6ug/m3,,,
Almería,13:00del13/04/2019,LAJOYA,64,118ug/m3,4ug/m3,5ug/m3,,,393ug/m3
Almería,11:00del13/04/2019,RODALQUILAR,54,112ug/m3,6ug/m3,5ug/m3,,,
Asturias,06:00del12/04/2019,SALINAS,53,3ug/m3,18ug/m3,,12.88ug/m3,17.13ug/m3,460ug/m3
Asturias,07:00del12/04/2019,LLANOPONTE,27,17ug/m3,30ug/m3,6ug/m3,5.5ug/m3,28.88ug/m3,
Asturias,06:00del12/04/2019,LLARANES,21,12ug/m3,13ug/m3,6ug/m3,,22.63ug/m3,
Asturias,06:00del12/04/2019,PLAZADELAGUITARRA,26,13ug/m3,30ug/m3,8ug/m3,,27.75ug/m3,950ug/m3
Asturias,06:00del12/04/2019,CANGASDENARCEA,16,29ug/m3,5ug/m3,11ug/m3,,16.75ug/m3,400ug/m3
Asturias,07:00del12/04/2019,ARGENTINA,35,19ug/m3,40ug/m3,4ug/m3,,37.88ug/m3,340ug/m3
Asturias,07:00del12/04/2019,AVENIDADECASTILLA,21,6.6ug/m3,30ug/m3,3.9ug/m3,,22.25ug/m3,400ug/m3
Asturias,06:00del12/04/2019,CONSTITUCIÓN,70,10ug/m3,46ug/m3,4ug/m3,21.13ug/m3,30.5ug/m3,510ug/m3
Asturias,07:00del12/04/2019,HERMANOSFELGUEROSO,23,15ug/m3,42ug/m3,4ug/m3,,24.5ug/m3,740ug/m3
Asturias,06:00del12/04/2019,MONTEVIL,78,11ug/m3,43ug/m3,4ug/m3,24.75ug/m3,29.25ug/m3,
Asturias,06:00del12/04/2019,SANTABÁRBARA,70,,27ug/m3,,21.13ug/m3,25.38ug/m3,480ug/m3
Asturias,06:00del12/04/2019,LAFELGUERA,67,20ug/m3,26ug/m3,1.4ug/m3,19.88ug/m3,28.88ug/m3,800ug/m3
Asturias,06:00del12/04/2019,MERIÑÁN,26,22ug/m3,14ug/m3,2.8ug/m3,,28.38ug/m3,
Asturias,07:00del12/04/2019,SAMAI,47,41ug/m3,13ug/m3,5ug/m3,11.25ug/m3,26ug/m3,260ug/m3
Asturias,13:00del13/04/2019,NIEMBRO,42,90.01ug/m3,0.75ug/m3,0.55ug/m3,,,
Asturias,06:00del12/04/2019,LUGONESINSTITUTO,73,16ug/m3,41ug/m3,6ug/m3,22.75ug/m3,30.13ug/m3,720ug/m3
Asturias,06:00del12/04/2019,JARDINESDEJUANXXIII,26,23ug/m3,9ug/m3,4ug/m3,,27.63ug/m3,
Asturias,06:00del12/04/2019,PLAZADETOROS,23,20ug/m3,42ug/m3,2ug/m3,,24.5ug/m3,630ug/m3
Asturias,06:00del12/04/2019,PURIFICACIÓNTOMÁS,59,40ug/m3,7.1ug/m3,3.9ug/m3,15.75ug/m3,24.63ug/m3,680ug/m3
Asturias,06:00del12/04/2019,TRUBIAPISCINAS,20,9ug/m3,20ug/m3,2.2ug/m3,,21.83ug/m3,530ug/m3
Asturias,07:00del12/04/2019,PALACIODEDEPORTES,63,11ug/m3,46ug/m3,5ug/m3,17.75ug/m3,36.25ug/m3,340ug/m3
Asturias,07:00del12/04/2019,BLIMEA,21,32ug/m3,3ug/m3,2ug/m3,,22.25ug/m3,110ug/m3
Ávila,13:00del13/04/2019,ÁVILA2,80,127ug/m3,1ug/m3,4ug/m3,,6.63ug/m3,
Badajoz,12:00del13/04/2019,BADAJOZ,43,92ug/m3,5.2ug/m3,3.9ug/m3,,,60ug/m3
Badajoz,13:00del13/04/2019,ZAFRA,40,86ug/m3,4.3ug/m3,3ug/m3,,,1000ug/m3
Badajoz,13:00del13/04/2019,MERIDA,50,108ug/m3,5.8ug/m3,1.2ug/m3,,,600ug/m3
