region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
b'Barcelona',b'12:00del13/04/2019',b'VilanovailaGeltr\xc3\xba(pl.delesDansesdeVilanova)',b'39',b'84ug/m3',b'12ug/m3',b'3ug/m3',b'',b'',b'200ug/m3'
b'Barcelona',b'12:00del13/04/2019',b'VilafrancadelPened\xc3\xa8s(zonaesportiva)',b'49',b'105ug/m3',b'3ug/m3',b'',b'',b'',b''
b'Burgos',b'12:00del13/04/2019',b'ARANDADEDUERO2',b'47',b'101ug/m3',b'23ug/m3',b'3ug/m3',b'',b'20.75ug/m3',b''
b'Burgos',b'11:00del13/04/2019',b'BURGOS1',b'33',b'',b'51ug/m3',b'1ug/m3',b'',b'35.13ug/m3',b'1100ug/m3'
b'Burgos',b'12:00del13/04/2019',b'BURGOS4',b'64',b'117ug/m3',b'4ug/m3',b'1ug/m3',b'4.63ug/m3',b'11.25ug/m3',b''
b'Burgos',b'13:00del13/04/2019',b'MIRANDADEEBRO1',b'23',b'',b'45ug/m3',b'3ug/m3',b'',b'18.25ug/m3',b''
b'Burgos',b'13:00del13/04/2019',b'MEDINADEPOMAR',b'46',b'100ug/m3',b'11ug/m3',b'1ug/m3',b'',b'',b''
b'Burgos',b'13:00del13/04/2019',b'MIRANDADEEBRO2',b'20',b'43ug/m3',b'',b'',b'',b'',b''
b'C\xc3\xa1ceres',b'11:00del13/04/2019',b'C\xc3\x81CERES',b'45',b'98ug/m3',b'5.9ug/m3',b'2.2ug/m3',b'',b'',b'550ug/m3'
b'C\xc3\xa1ceres',b'12:00del13/04/2019',b'PLASENCIA',b'48',b'103ug/m3',b'5.4ug/m3',b'1.2ug/m3',b'',b'',b'1100ug/m3'
b'C\xc3\xa1ceres',b'13:00del13/04/2019',b'MONFRAG\xc3\x9cE',b'5',b'0.1ug/m3',b'3.3ug/m3',b'1.6ug/m3',b'',b'',b'430ug/m3'
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'ALGECIRASEPS',b'40',b'25ug/m3',b'79ug/m3',b'8ug/m3',b'',b'14.96ug/m3',b'1482ug/m3'
b'C\xc3\xa1diz',b'10:00del13/04/2019',b'E4:RINCONCILLO',b'9',b'',b'19ug/m3',b'7ug/m3',b'',b'',b''
b'C\xc3\xa1diz',b'12:00del13/04/2019',b'ARCOS',b'44',b'96ug/m3',b'',b'6ug/m3',b'',b'17ug/m3',b''
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'AVDA.MARCONI',b'35',b'75ug/m3',b'9ug/m3',b'2ug/m3',b'',b'',b'586ug/m3'
b'C\xc3\xa1diz',b'12:00del13/04/2019',b'CAMPAMENTO',b'23',b'50ug/m3',b'13ug/m3',b'13ug/m3',b'',b'',b'827ug/m3'
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'CARTUJA',b'32',b'70ug/m3',b'12ug/m3',b'4ug/m3',b'',b'12.51ug/m3',b'1046ug/m3'
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'JEREZ-CHAPMN',b'38',b'81ug/m3',b'17ug/m3',b'2ug/m3',b'',b'14.71ug/m3',b'266ug/m3'
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'E7:ELZABAL',b'30',b'',b'60ug/m3',b'17ug/m3',b'',b'',b''
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'LAL\xc3\x8dNEA',b'29',b'50ug/m3',b'59ug/m3',b'12ug/m3',b'',b'',b''
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'COLEGIO(S1)',b'14',b'',b'2ug/m3',b'27ug/m3',b'',b'',b''
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'CORTIJILLOS',b'22',b'48ug/m3',b'11ug/m3',b'6ug/m3',b'',b'',b'484ug/m3'
b'C\xc3\xa1diz',b'12:00del13/04/2019',b'E2:ALCORNOCALES',b'36',b'78ug/m3',b'8ug/m3',b'6ug/m3',b'',b'',b''
b'C\xc3\xa1diz',b'12:00del13/04/2019',b'LOSBARRIOS',b'3',b'',b'6ug/m3',b'3ug/m3',b'',b'',b''
b'C\xc3\xa1diz',b'12:00del13/04/2019',b'PALMONES(S5)',b'36',b'',b'72ug/m3',b'21ug/m3',b'',b'',b''
b'C\xc3\xa1diz',b'12:00del13/04/2019',b'PRADOREY',b'42',b'89ug/m3',b'1ug/m3',b'',b'',b'26.14ug/m3',b'181ug/m3'
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'RIOSANPEDRO',b'32',b'69ug/m3',b'9ug/m3',b'',b'',b'16.09ug/m3',b''
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'SANFERNANDO',b'41',b'88ug/m3',b'10ug/m3',b'13ug/m3',b'',b'',b''
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'CARTEYA(S9)',b'32',b'70ug/m3',b'6ug/m3',b'4ug/m3',b'',b'7.35ug/m3',b''
b'C\xc3\xa1diz',b'12:00del13/04/2019',b'ECONOMATO',b'6',b'',b'12ug/m3',b'7ug/m3',b'',b'',b''
b'C\xc3\xa1diz',b'12:00del13/04/2019',b'GUADARRANQUE',b'25',b'39ug/m3',b'48ug/m3',b'12ug/m3',b'',b'',b'370ug/m3'
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'HOSTELER\xc3\x8dA',b'18',b'',b'36ug/m3',b'16ug/m3',b'',b'',b'892ug/m3'
b'C\xc3\xa1diz',b'11:00del13/04/2019',b'PUENTEMAYORGA',b'7',b'',b'',b'12ug/m3',b'',b'',b''
b'C\xc3\xa1diz',b'12:00del13/04/2019',b'SANROQUE(S6)',b'4',b'',b'7ug/m3',b'8ug/m3',b'',b'',b''
b'C\xc3\xa1diz',b'12:00del13/04/2019',b'MADREVIEJA',b'19',b'',b'34ug/m3',b'34ug/m3',b'',b'',b''
b'Cantabria',b'13:00del13/04/2019',b'CASTROURDIALES',b'43',b'91ug/m3',b'11ug/m3',b'11ug/m3',b'',b'18.5ug/m3',b''
b'Cantabria',b'10:00del13/04/2019',b'ESTACI\xc3\x93NDELMEDITERRANEO',b'27',b'16ug/m3',b'35.5ug/m3',b'1ug/m3',b'',b'28.84ug/m3',b'425ug/m3'
b'Cantabria',b'13:00del13/04/2019',b'LOSCORRALESDEBUELNA',b'24',b'51ug/m3',b'18ug/m3',b'',b'',b'22.38ug/m3',b''
b'Cantabria',b'08:00del13/04/2019',b'LOSTOJOS',b'39',b'84ug/m3',b'0.26ug/m3',b'0.01ug/m3',b'',b'9.63ug/m3',b''
b'Cantabria',b'12:00del13/04/2019',b'PARQUEDECROSS',b'60',b'64ug/m3',b'28ug/m3',b'6ug/m3',b'',b'72.5ug/m3',b'400ug/m3'
b'Cantabria',b'12:00del13/04/2019',b'REINOSA',b'41',b'88ug/m3',b'18ug/m3',b'',b'',b'18.25ug/m3',b''
b'Cantabria',b'12:00del13/04/2019',b'SANTANDERCENTRO',b'27',b'',b'40ug/m3',b'5ug/m3',b'',b'28.75ug/m3',b'1600ug/m3'
